date,label
2024-10-06,delayed
2024-12-03,delayed
2025-07-21,delayed
2024-07-22,delayed
2024-11-03,delayed
2025-03-25,delayed
2026-01-21,delayed
2024-06-06,delayed
2024-09-04,delayed
2024-04-09,delayed
2025-07-14,delayed
2026-02-05,delayed
2024-07-23,delayed
2025-10-03,delayed
2024-10-30,delayed
2024-03-11,cancelled
2024-03-20,delayed
2025-09-21,delayed
2025-11-07,delayed
2025-12-08,delayed
2024-07-11,delayed
2024-09-14,delayed
2026-03-11,delayed
2025-02-10,delayed
2026-01-19,delayed
2024-08-20,delayed
2024-04-05,delayed
2025-01-27,delayed
2024-01-24,cancelled
2025-06-03,delayed
2024-06-01,delayed
2025-07-28,delayed
2024-10-18,delayed
2024-07-05,delayed
2024-02-12,delayed
2026-02-18,delayed
2025-11-25,delayed
2026-03-23,delayed
2024-05-31,delayed
2024-07-31,delayed
2024-03-01,delayed
2025-07-11,delayed
2024-04-06,cancelled
2026-02-08,delayed
2025-04-16,delayed
2025-06-06,delayed
2025-08-29,delayed
2026-03-30,delayed
2026-02-13,delayed
2024-03-10,cancelled
2024-12-09,delayed
2026-01-15,delayed
2024-06-16,delayed
2024-02-19,delayed
2024-06-17,delayed
2026-03-12,delayed
2024-11-13,cancelled
2024-12-06,delayed
2025-08-01,delayed
2026-03-03,delayed
2024-07-16,delayed
2026-03-08,cancelled
2025-02-12,delayed
2026-03-16,delayed
2025-01-14,delayed
2025-12-09,delayed
2026-03-15,delayed
2025-07-15,delayed
2026-03-07,unknown
2025-01-28,delayed
2025-01-16,cancelled
2024-08-22,delayed
2024-05-05,delayed
2025-12-16,delayed
2026-02-17,delayed
2024-03-12,delayed
2024-11-11,delayed
2026-04-17,cancelled
2025-09-08,delayed
2024-04-17,delayed
2024-06-03,delayed
2025-08-23,delayed
2024-04-08,unknown
2025-07-06,delayed
2024-02-05,delayed
2024-07-29,delayed
2025-09-11,delayed
2025-08-02,delayed
2025-02-26,delayed
2025-03-28,delayed
2024-10-02,delayed
2024-03-18,delayed
2024-09-08,delayed
2024-03-30,delayed
2025-07-27,cancelled
2025-08-24,delayed
2025-09-20,delayed
2025-04-21,delayed
2025-01-03,cancelled
2026-01-18,delayed
2024-01-29,delayed
2024-10-15,delayed
2024-07-28,delayed
