text,classification
"#WesternLine Allow up to 10 minutes of extra travel time towards the City due to a police operation at Central earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Allow extra travel time away from the City due to an earlier incident at Strathfield earlier.

Train stops may change at short notice.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow extra travel time from the City due to train crew availability at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow extra travel time away from the City due to urgent signal repairs at Strathfield earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time from the City due to a medical emergency at Town Hall earlier.

Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine #WesternLine Trains are not running between Penrith and St Marys due to trackwork.

Use trains between Epping or Central, the City and St Marys.
Please consider using Metro services to continue your journey.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time away from the City due to vandalism at Strathfield earlier.

Train stops may change at short notice.
Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time from the City due to train crew availability at Central earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 15 minutes of extra travel time away from the City due to urgent signal repairs at Central earlier.

Train stops may change at short notice.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Trains are not running between Epping and Chatswood due to an object near the overhead wiring at Strathfield.

Replacement buses are not available at this time.
We will notify you if the situation changes.
We will notify you if the situation changes.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#WesternLine Allow plenty of extra travel time towards the City due to train crew availability at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow extra travel time towards the City due to an earlier incident at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine Allow extra travel time from the City due to a person near the tracks at Town Hall earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time towards the City due to vandalism at Warrawee earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#BlueMountainsLine Allow extra travel time from the City due to a police operation at Central earlier.

Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine & #WesternLine Allow extra travel time towards the City due to a medical emergency at Wynyard earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#BlueMountainsLine Allow plenty of extra travel time away from the City due to urgent train repairs at Redfern earlier.

Stops and platforms may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow extra travel time away from the City due to urgent train repairs at Central earlier.

Some services may be less frequent and may run to a changed timetable.
Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow extra travel time from the City due to train crew availability at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 15 minutes of extra travel time away from the City due to an earlier incident at Strathfield earlier.

Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow extra travel time away from the City due to urgent signal repairs at Hornsby earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 15 minutes of extra travel time towards the City due to an earlier incident at Hornsby earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow plenty of extra travel time away from the City due to an earlier incident at Strathfield earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to train crew availability at Strathfield earlier.

Services are running frequently with some trains having altered stops.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time away from the City due to a police operation at Redfern earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 15 minutes of extra travel time towards the City due to an earlier incident at Hornsby earlier.

Some services may be less frequent and may run to a changed timetable.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time from the City due to a medical emergency at Wynyard earlier.

Stops and platforms may change at short notice.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Trains are not running between Emu Plains and Springwood due to emergency services attending at Redfern.

Replacement buses are not available at this time.
Replacement buses are not available at this time.
Replacement buses are not available at this time.
Buses replace services between Emu Plains and Springwood.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#NorthShoreLine Allow up to 15 minutes of extra travel time from the City due to train crew availability at Strathfield earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time away from the City due to a person near the tracks at Strathfield earlier.

Services are running frequently with some trains having altered stops.
Train stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time from the City due to a person near the tracks at Town Hall earlier.

Train stops may change at short notice.
Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow plenty of extra travel time towards the City due to train crew availability at Strathfield earlier.

Stops and platforms may change at short notice.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#BlueMountainsLine Allow up to 15 minutes of extra travel time towards the City due to train crew availability at Strathfield earlier.

Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Trains are not running between Strathfield and Central due to urgent signal repairs at Parramatta.

Buses replace services between Strathfield and Central.
Consider using local bus routes or other transport options.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#WesternLine #NorthShoreLine Allow plenty of extra travel time from the City due to a person near the tracks at Croydon earlier.

Stops may change at short notice.
Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"Due to trackwork overnight, services do not run between Hornsby and Berowra.

Please consider using Metro services to continue your journey.
Consider using local bus routes or other transport options.
We will notify you if the situation changes.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#WesternLine Allow up to 15 minutes of extra travel time away from the City due to urgent signal repairs at Central earlier.

Some services may be less frequent and may run to a changed timetable.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"Due to trackwork tonight, services do not run between Wynyard and North Sydney.

Buses replace services between Wynyard and North Sydney.
Buses replace services between Wynyard and North Sydney.
Buses replace services between Wynyard and North Sydney.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#BlueMountainsLine Allow plenty of extra travel time from the City due to an operational issue at Hornsby earlier.

Stops and platforms may change at short notice.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 15 minutes of extra travel time away from the City due to vandalism at Strathfield earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine #NorthShoreLine Allow plenty of extra travel time away from the City due to vandalism at Strathfield earlier.

Stops and platforms may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow plenty of extra travel time from the City due to urgent signal repairs at Central earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time from the City due to urgent train repairs at Strathfield earlier.

Train stops may change at short notice.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 15 minutes of extra travel time from the City due to an operational issue at Wynyard earlier.

Some services may be less frequent and may run to a changed timetable.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time towards the City due to an earlier incident at Central earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine #NorthShoreLine Allow up to 15 minutes of extra travel time towards the City due to a police operation at Town Hall earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Trains are not running between Blacktown and Parramatta due to a signal failure at Central.

Replacement buses are being organised between Blacktown and Parramatta.
Consider using local bus routes or other transport options.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#WesternLine Allow up to 10 minutes of extra travel time away from the City due to urgent train repairs at Redfern earlier.

Some services may be less frequent and may run to a changed timetable.
Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow plenty of extra travel time away from the City due to urgent signal repairs at Hornsby earlier.

Trains may stop on platforms or between stations.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to train crew availability at Strathfield earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow extra travel time away from the City due to train crew availability at Strathfield earlier.

Trains may stop on platforms or between stations.
Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"Due to trackwork tonight, services do not run between Wynyard and North Sydney.

Use trains between Chatswood or Epping, the City and North Sydney.
Replacement buses are not available at this time.
Replacement buses are being organised between Wynyard and North Sydney.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"Due to trackwork overnight, services do not run between Hornsby and Berowra.

Consider using local bus routes or other transport options.
Replacement buses are not available at this time.
Use trains between Strathfield or Epping, the City and Berowra.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time away from the City due to urgent train repairs at Central earlier.

Some services may be less frequent and may run to a changed timetable.
Stops and platforms may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time towards the City due to power supply issues at near Hornsby earlier.

Services are running frequently with some trains having altered stops.
Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Allow up to 15 minutes of extra travel time from the City due to an earlier incident at Hornsby earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow plenty of extra travel time away from the City due to an earlier incident at Lidcombe earlier.

Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to a medical emergency at Central earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to vandalism at Lidcombe earlier.

Some services may be less frequent and may run to a changed timetable.
Train stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Allow plenty of extra travel time from the City due to urgent train repairs at Central earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow plenty of extra travel time towards the City due to an operational issue at Town Hall earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time from the City due to a police operation at Central earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time towards the City due to an operational issue at Hornsby earlier.

Trains may stop on platforms or between stations.
Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow plenty of extra travel time from the City due to urgent train repairs at Central earlier.

Train stops may change at short notice.
Some services may be less frequent and may run to a changed timetable.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time away from the City due to an operational issue at Central earlier.

Train stops may change at short notice.
Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time away from the City due to a police operation at Town Hall earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine #NorthShoreLine Allow up to 10 minutes of extra travel time towards the City due to train crew availability at Strathfield earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Allow extra travel time away from the City due to a police operation at Redfern earlier.

Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow extra travel time away from the City due to a medical emergency at Wynyard earlier.

Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to an operational issue at Town Hall earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"Due to trackwork overnight, services do not run between Emu Plains and Springwood.

Use trains between Strathfield or Chatswood, the City and Springwood.
Use trains between Chatswood or Chatswood, the City and Springwood.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine Trains are not running between Tallawong and Sydenham due to a signal failure at Hornsby.

Buses replace services between Tallawong and Sydenham.
Replacement buses are not available at this time.
We will notify you if the situation changes.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#BlueMountainsLine Allow up to 15 minutes of extra travel time towards the City due to an earlier incident at Hornsby earlier.

Trains may stop on platforms or between stations.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time towards the City due to train crew availability at Central earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Allow plenty of extra travel time away from the City due to urgent train repairs at Redfern earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow plenty of extra travel time from the City due to power supply issues at near Strathfield earlier.

Stops and platforms may change at short notice.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow plenty of extra travel time away from the City due to vandalism at Hornsby earlier.

Trains may stop on platforms or between stations.
Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow extra travel time from the City due to a police operation at Redfern earlier.

Trains may stop on platforms or between stations.
Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time from the City due to an earlier incident at Hornsby earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"Due to trackwork this weekend, services do not run between Emu Plains and Springwood.

Replacement buses are being organised between Emu Plains and Springwood.
Replacement buses are being organised between Emu Plains and Springwood.
Use trains between Strathfield or Chatswood, the City and Springwood.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to urgent signal repairs at Lidcombe earlier.

Services are running frequently with some trains having altered stops.
Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to an earlier incident at Hornsby earlier.

Train stops may change at short notice.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time from the City due to an operational issue at Town Hall earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time away from the City due to a medical emergency at Town Hall earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow extra travel time away from the City due to an operational issue at Hornsby earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to an operational issue at Hornsby earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time towards the City due to vandalism at Warrawee earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine Trains are not running between Blacktown and Parramatta due to urgent signal repairs at East Richmond.

Replacement buses are being organised between Blacktown and Parramatta.
Replacement buses are not available at this time.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#BlueMountainsLine Allow extra travel time away from the City due to a police operation at Central earlier.

Trains may stop on platforms or between stations.
Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time away from the City due to urgent train repairs at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to a police operation at Town Hall earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#BlueMountainsLine Allow extra travel time from the City due to a police operation at Town Hall earlier.

Some services may be less frequent and may run to a changed timetable.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine Allow plenty of extra travel time away from the City due to an operational issue at Hornsby earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine #NorthShoreLine Trains are not running between Strathfield and Central due to urgent signal repairs at Richmond.

Please consider using Metro services to continue your journey.
Please consider using Metro services to continue your journey.
We will notify you if the situation changes.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#BlueMountainsLine Allow up to 10 minutes of extra travel time towards the City due to urgent train repairs at Strathfield earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine Allow up to 15 minutes of extra travel time from the City due to urgent signal repairs at Strathfield earlier.

Stops and platforms may change at short notice.
Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Allow plenty of extra travel time from the City due to a medical emergency at Wynyard earlier.

Some services may be less frequent and may run to a changed timetable.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time from the City due to urgent signal repairs at Central earlier.

Stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#WesternLine #NorthShoreLine Allow plenty of extra travel time away from the City due to an earlier incident at Central earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"Due to trackwork tonight, services do not run between Penrith and St Marys.

Consider using local bus routes or other transport options.
Please consider using Metro services to continue your journey.
Please consider using Metro services to continue your journey.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine Trains are not running between Emu Plains and Springwood due to a vehicle on the tracks at Strathfield.

Consider using local bus routes or other transport options.
Replacement buses are being organised between Emu Plains and Springwood.
Buses replace services between Emu Plains and Springwood.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#WesternLine Allow plenty of extra travel time from the City due to an earlier incident at Central earlier.

Trains may stop on platforms or between stations.
Train stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to urgent signal repairs at Lidcombe earlier.

Train stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow up to 15 minutes of extra travel time from the City due to an earlier incident at Lidcombe earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"Due to trackwork this weekend, services do not run between Wynyard and North Sydney.

Replacement buses are being organised between Wynyard and North Sydney.
Buses replace services between Wynyard and North Sydney.
Replacement buses are not available at this time.
Replacement buses are not available at this time.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"Due to trackwork overnight, services do not run between Strathfield and Central.

We will notify you if the situation changes.
We will notify you if the situation changes.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine Trains are not running between Blacktown and Parramatta due to a signal failure at Strathfield.

Please consider using Metro services to continue your journey.
Use trains between Chatswood or Chatswood, the City and Parramatta.
Use trains between Strathfield or Epping, the City and Parramatta.
Replacement buses are being organised between Blacktown and Parramatta.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine Allow plenty of extra travel time towards the City due to urgent train repairs at Lidcombe earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time away from the City due to an earlier incident at Lidcombe earlier.

Trains may stop on platforms or between stations.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time from the City due to train crew availability at Central earlier.

Train stops may change at short notice.
Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine #WesternLine Allow extra travel time from the City due to a medical emergency at Town Hall earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine Allow up to 15 minutes of extra travel time away from the City due to a person near the tracks at Redfern earlier.

Trains may stop on platforms or between stations.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time away from the City due to train crew availability at Strathfield earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to a medical emergency at Central earlier.

Services are running frequently with some trains having altered stops.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#BlueMountainsLine Allow extra travel time from the City due to an earlier incident at Hornsby earlier.

Some services may be less frequent and may run to a changed timetable.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time from the City due to train crew availability at Strathfield earlier.

Train stops may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to power supply issues at near Hornsby earlier.

Some services may be less frequent and may run to a changed timetable.
Train stops may change at short notice.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Allow plenty of extra travel time towards the City due to a police operation at Town Hall earlier.

Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine #WesternLine Allow up to 10 minutes of extra travel time away from the City due to urgent train repairs at Strathfield earlier.

Some services may be less frequent and may run to a changed timetable.
Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"Due to trackwork tonight, services do not run between Emu Plains and Springwood.

Consider using local bus routes or other transport options.
Use trains between Epping or Central, the City and Springwood.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#NorthShoreLine Allow plenty of extra travel time towards the City due to an earlier incident at Central earlier.

Train stops may change at short notice.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow plenty of extra travel time towards the City due to vandalism at Lidcombe earlier.

Trains may stop on platforms or between stations.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Allow up to 10 minutes of extra travel time from the City due to urgent train repairs at Lidcombe earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 15 minutes of extra travel time from the City due to urgent train repairs at Strathfield earlier.

Trains may stop on platforms or between stations.
Services are running frequently with some trains having altered stops.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#BlueMountainsLine Allow plenty of extra travel time away from the City due to an earlier incident at Hornsby earlier.

Train stops may change at short notice.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#NorthShoreLine #WesternLine Trains are not running between Emu Plains and Springwood due to urgent signal repairs at Blacktown.

Replacement buses are being organised between Emu Plains and Springwood.
Consider using local bus routes or other transport options.
Consider using local bus routes or other transport options.

Please listen to announcements, check information screens and apps for updates.",Cancelled
"#NorthShoreLine #WesternLine Allow plenty of extra travel time towards the City due to an earlier incident at Central earlier.

Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time from the City due to urgent train repairs at Lidcombe earlier.

Services are running frequently with some trains having altered stops.
Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#BlueMountainsLine Allow up to 10 minutes of extra travel time away from the City due to a medical emergency at Wynyard earlier.

Services are running frequently with some trains having altered stops.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine Trains are not running between Strathfield and Central due to urgent signal repairs at East Richmond.

Replacement buses are being organised between Strathfield and Central.
Buses replace services between Strathfield and Central.

For service updates, please check transport apps, information screens and listen to announcements.",Cancelled
"#WesternLine #NorthShoreLine Allow plenty of extra travel time from the City due to train crew availability at Central earlier.

Services are running frequently with some trains having altered stops.
Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#NorthShoreLine & #WesternLine Allow up to 10 minutes of extra travel time away from the City due to a medical emergency at Town Hall earlier.

Some services may be less frequent and may run to a changed timetable.

Please listen to announcements, check information screens and transport apps for service updates.",Delayed
"#WesternLine Allow up to 10 minutes of extra travel time towards the City due to an earlier incident at Lidcombe earlier.

Stops may change at short notice.
Trains may stop on platforms or between stations.

For service updates, please check transport apps, information screens and listen to announcements.",Delayed
"#NorthShoreLine Allow extra travel time towards the City due to vandalism at Warrawee earlier.

Stops may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
"#WesternLine #NorthShoreLine Allow extra travel time away from the City due to train crew availability at Central earlier.

Stops and platforms may change at short notice.

Please listen to announcements, check information screens and apps for updates.",Delayed
